,Negemo,Posemo,Work
traded,,,1.0
tradegy,,,1.0
traders,,,1.0
trades,,,2.0
trading,,,1.0
tragedy,6.0,,
transcript,,,7.0
transcripts,,,3.0
transfer,,,60.0
transfering,,,1.0
transferred,,,21.0
transferring,,,17.0
transfers,,,2.0
transferthat,,,1.0
trauma,3.0,,
"trauma

so",1.0,,
traumatic,7.0,,
traumatize,3.0,,
traumatized,4.0,,
traumatizing,5.0,,
treasure,,5.0,
treat,,77.0,
tremble,5.0,,
trembling,1.0,,
trick,3.0,,
tricked,1.0,,
tricking,1.0,,
trickle,3.0,,
trickled,2.0,,
tricks,3.0,,
triumph,,1.0,
trivial,15.0,,
"trivial

after",1.0,,
trivialities,1.0,,
trivialize,1.0,,
trivializing,1.0,,
trouble,50.0,,
troubled,4.0,,
troubledpartially,1.0,,
troublemakers,1.0,,
troubles,8.0,,
troubleshoot,1.0,,
troubling,1.0,,
truly,,173.0,
trust,,100.0,
trustbreaking,,1.0,
trusted,,10.0,
trustee,,1.0,
trusting,,7.0,
trustworthy,,1.0,
truth,,75.0,
truthful,,1.0,
truthfully,,2.0,
truths,,1.0,
tutor,,,3.0
tutorials,,,1.0
tutoring,,,3.0
type,,,64.0
typed,,,3.0
types,,,14.0
"types

the",,,1.0
typeset,,,1.0
typewriters,,,1.0
typing,,,7.0
ugh,32.0,,
uglier,3.0,,
uglierfatter,1.0,,
ugliest,2.0,,
ugliness,1.0,,
ugly,60.0,,
unattractive,21.0,,
uncertain,3.0,,
uncertainty,6.0,,
uncomfortable,43.0,,
"uncomfortable

just",1.0,,
uncomfortably,1.0,,
uncontrollable,3.0,,
"uncontrollable

am",1.0,,
uncontrollably,2.0,,
undergrad,,,33.0
undergrads,,,9.0
undergraduate,,,15.0
undergraduates,,,3.0
underpaid,,,1.0
uneasiness,1.0,,
uneasy,5.0,,
unemployed,,,11.0
unemployment,,,4.0
unfortunate,13.0,,
unfortunately,40.0,,
"unfortunately

its",1.0,,
unfriendly,4.0,,
ungrateful,7.0,,
unhappier,1.0,,
unhappiness,6.0,,
unhappy,26.0,,
unhappyirrelevant,1.0,,
universities,,,15.0
university,,,94.0
"university

oh",,,1.0
universityand,,,1.0
universityit,,,1.0
universitys,,,1.0
unlovable,3.0,,
unlovableinvisible,1.0,,
unloveable,1.0,,
unloved,4.0,,
unloving,1.0,,
unpleasant,5.0,,
unproductive,,,1.0
unprotected,1.0,,
unsuccessful,2.0,,
unsure,7.0,,
unwelcoming,1.0,,
upperclassman,,,6.0
upperclassmen,,,8.0
upset,57.0,,
upsets,4.0,,
upsetting,6.0,,
uptight,3.0,,
useful,,14.0,
usefulness,,1.0,
vain,11.0,,
valuable,,6.0,
valuables,,1.0,
value,,35.0,
valued,,9.0,
values,,23.0,
valuing,,1.0,
vanity,3.0,,
varsity,,,1.0
vicious,6.0,,
victim,15.0,,
victimization,1.0,,
victimize,1.0,,
victims,16.0,,
victimthe,1.0,,
vigor,,2.0,
vigorously,,2.0,
vile,1.0,,
violate,2.0,,
violated,5.0,,
"violated

3",1.0,,
violates,1.0,,
violating,1.0,,
violation,1.0,,
violent,3.0,,
violently,2.0,,
"violently
but",1.0,,
virtue,,2.0,
vital,,1.0,
vitality,,1.0,
vitalized,,1.0,
vocations,,,1.0
vulnerability,1.0,,
vulnerable,16.0,,
vultures,2.0,,
wage,,,7.0
wages,,,1.0
war,17.0,,
warehouse,,,2.0
warfare,1.0,,
warm,,33.0,
warmed,,1.0,
warmer,,4.0,
warming,,13.0,
warms,,1.0,
warmth,,8.0,
wars,6.0,,
weak,44.0,,
weakens,1.0,,
weaker,1.0,,
weakest,4.0,,
weakminded,3.0,,
weakness,5.0,,
weaknesses,6.0,,
wealth,,10.0,
wealthier,,2.0,
wealthy,,16.0,
weapon,3.0,,
weapons,2.0,,
weeping,2.0,,
weeps,1.0,,
weird,144.0,,
"weird

the",1.0,,
"weird
i",1.0,,
"weird
no",1.0,,
weirdcontradictory,1.0,,
weirded,3.0,,
weirder,1.0,,
weirdest,4.0,,
weirdestsmelling,1.0,,
weirding,1.0,,
weirdly,8.0,,
weirdness,5.0,,
weirdo,4.0,,
weirds,2.0,,
weirdsounding,1.0,,
welcome,,18.0,
"welcome

something",,1.0,
welcomed,,3.0,
welcomes,,2.0,
welcoming,,5.0,
welfare,,,2.0
well,,485.0,
"well

and",,1.0,
"well

either",,1.0,
"well

to",,1.0,
"well
who",,1.0,
"well
your",,1.0,
wellask,,1.0,
wellbeing,,10.0,
wellconnected,,1.0,
welldeserving,,1.0,
welldoing,,1.0,
welldressed,,2.0,
wellestablished,,1.0,
wellfitting,,1.0,
wellinformed,,1.0,
wellknown,,2.0,
wellmannered,,1.0,
wellmeaning,,2.0,
wellpaying,,3.0,
wellrespected,,1.0,
wellrounded,,2.0,
wellspring,,1.0,
wellsuited,,1.0,
welltraveled,,1.0,
wellversed,,1.0,
well…,,1.0,
whine,2.0,,
whined,1.0,,
whiners,1.0,,
whiney,2.0,,
whining,10.0,,
whore,11.0,,
"whore
i",1.0,,
whores,3.0,,
whoreyoure,1.0,,
wicked,5.0,,
wimp,1.0,,
win,,18.0,
winner,,3.0,
winners,,3.0,
winning,,7.0,
winningsp2015,,1.0,
wins,,4.0,
wisdom,,2.0,
wise,,11.0,
wised,,1.0,
wisely,,1.0,
wiser,,2.0,
witch,2.0,,
woe,1.0,,
woes,1.0,,
won,,11.0,
wonderful,,69.0,
"wonderful

that’s",,1.0,
wonderfully,,2.0,
worked,,,77.0
worker,,,20.0
workers,,,16.0
"workers
6",,,1.0
working,,,173.0
"working
but",,,1.0
workingclass,,,2.0
workinglower,,,1.0
works,,,79.0
worried,72.0,,
worriedconcerned,1.0,,
worries,11.0,,
"worries

wishing",1.0,,
worrisome,2.0,,
worry,85.0,,
worrying,21.0,,
"worrying
about",1.0,,
worse,163.0,,
"worse

all",1.0,,
"worse

be",1.0,,
"worse

one",1.0,,
"worse
2",1.0,,
worsened,3.0,,
worsening,1.0,,
worser,1.0,,
worship,,3.0,
worshiping,,1.0,
worshippers,,1.0,
worst,126.0,,
worthwhile,,8.0,
wow,,16.0,
wownow,,1.0,
wrong,307.0,,
"wrong

i",2.0,,
"wrong

im",1.0,,
"wrong

its",1.0,,
"wrong

without",1.0,,
"wrong
i",1.0,,
"wrong
wish",1.0,,
wrongdoings,1.0,,
wronged,1.0,,
wronghad,1.0,,
wrongly,2.0,,
wrongs,1.0,,
yay,,11.0,
yearn,1.0,,
yearned,2.0,,
yearnext,1.0,,
yearns,1.0,,
